task1
29
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 3)    -17.860     0.247   -41.632     5.913
 (0 - 4)     -1.012     1.000   -24.784    22.761
 (0 - 5)      0.634     1.000   -23.139    24.406
 (0 - 6)      1.135     1.000   -22.638    24.907
 (0 - 7)      2.519     1.000   -21.253    26.291
 (1 - 0)     24.833     0.036     1.061    48.606
 (1 - 2)     23.852     0.049     0.080    47.625
 (1 - 3)      6.974     0.974   -16.799    30.746
 (1 - 4)     23.822     0.049     0.049    47.594
 (1 - 5)     25.467     0.030     1.695    49.240
 (1 - 6)     25.968     0.025     2.196    49.741
 (1 - 7)     27.353     0.016     3.580    51.125
 (2 - 0)      0.981     1.000   -22.791    24.753
 (2 - 1)    -23.852     0.049   -47.625    -0.080
 (2 - 3)    -16.879     0.308   -40.651     6.894
 (2 - 4)     -0.031     1.000   -23.803    23.742
 (2 - 5)      1.615     1.000   -22.158    25.387
 (2 - 6)      2.116     1.000   -21.657    25.888
 (2 - 7)      3.500     1.000   -20.272    27.272
 (3 - 0)     17.860     0.247    -5.913    41.632
 (3 - 1)     -6.974     0.974   -30.746    16.799
 (3 - 2)     16.879     0.308    -6.894    40.651
 (3 - 4)     16.848     0.310    -6.924    40.620
 (3 - 5)     18.494     0.213    -5.279    42.266
 (3 - 6)     18.994     0.188    -4.778    42.767
 (3 - 7)     20.379     0.132    -3.394    44.151
 (4 - 0)      1.012     1.000   -22.761    24.784
 (4 - 1)    -23.822     0.049   -47.594    -0.049
 (4 - 2)      0.031     1.000   -23.742    23.803
 (4 - 3)    -16.848     0.310   -40.620     6.924
 (4 - 5)      1.646     1.000   -22.127    25.418
 (4 - 6)      2.146     1.000   -21.626    25.919
 (4 - 7)      3.531     1.000   -20.242    27.303
 (5 - 0)     -0.634     1.000   -24.406    23.139
 (5 - 1)    -25.467     0.030   -49.240    -1.695
 (5 - 2)     -1.615     1.000   -25.387    22.158
 (5 - 3)    -18.494     0.213   -42.266     5.279
 (5 - 4)     -1.646     1.000   -25.418    22.127
 (5 - 6)      0.501     1.000   -23.272    24.273
 (5 - 7)      1.885     1.000   -21.887    25.658
 (6 - 0)     -1.135     1.000   -24.907    22.638
 (6 - 1)    -25.968     0.025   -49.741    -2.196
 (6 - 2)     -2.116     1.000   -25.888    21.657
 (6 - 3)    -18.994     0.188   -42.767     4.778
 (6 - 4)     -2.146     1.000   -25.919    21.626
 (6 - 5)     -0.501     1.000   -24.273    23.272
 (6 - 7)      1.384     1.000   -22.388    25.157
 (7 - 0)     -2.519     1.000   -26.291    21.253
 (7 - 1)    -27.353     0.016   -51.125    -3.580
 (7 - 2)     -3.500     1.000   -27.272    20.272
 (7 - 3)    -20.379     0.132   -44.151     3.394
 (7 - 4)     -3.531     1.000   -27.303    20.242
 (7 - 5)     -1.885     1.000   -25.658    21.887
 (7 - 6)     -1.384     1.000   -25.157    22.388

task3
59
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)    -11.064     0.821   -36.205    14.076
 (0 - 2)      0.709     1.000   -24.432    25.849
 (0 - 3)    -16.261     0.418   -41.402     8.880
 (0 - 4)      0.062     1.000   -25.079    25.203
 (0 - 5)      1.770     1.000   -23.371    26.910
 (0 - 6)      1.946     1.000   -23.195    27.087
 (0 - 7)      3.160     1.000   -21.981    28.301
 (1 - 0)     11.064     0.821   -14.076    36.205
 (1 - 2)     11.773     0.773   -13.367    36.914
 (1 - 3)     -5.197     0.997   -30.337    19.944
 (1 - 4)     11.126     0.817   -14.014    36.267
 (1 - 5)     12.834     0.693   -12.306    37.975
 (1 - 6)     13.010     0.679   -12.130    38.151
 (1 - 7)     14.224     0.580   -10.916    39.365
 (2 - 0)     -0.709     1.000   -25.849    24.432
 (2 - 1)    -11.773     0.773   -36.914    13.367
 (2 - 3)    -16.970     0.367   -42.110     8.171
 (2 - 4)     -0.647     1.000   -25.788    24.494
 (2 - 5)      1.061     1.000   -24.080    26.202
 (2 - 6)      1.237     1.000   -23.903    26.378
 (2 - 7)      2.451     1.000   -22.689    27.592
 (3 - 0)     16.261     0.418    -8.880    41.402
 (3 - 1)      5.197     0.997   -19.944    30.337
 (3 - 2)     16.970     0.367    -8.171    42.110
 (3 - 4)     16.323     0.414    -8.818    41.464
 (3 - 5)     18.031     0.297    -7.110    43.171
 (3 - 6)     18.207     0.286    -6.934    43.348
 (3 - 7)     19.421     0.219    -5.719    44.562
 (4 - 0)     -0.062     1.000   -25.203    25.079
 (4 - 1)    -11.126     0.817   -36.267    14.014
 (4 - 2)      0.647     1.000   -24.494    25.788
 (4 - 3)    -16.323     0.414   -41.464     8.818
 (4 - 5)      1.708     1.000   -23.433    26.848
 (4 - 6)      1.884     1.000   -23.257    27.025
 (4 - 7)      3.098     1.000   -22.042    28.239
 (5 - 0)     -1.770     1.000   -26.910    23.371
 (5 - 1)    -12.834     0.693   -37.975    12.306
 (5 - 2)     -1.061     1.000   -26.202    24.080
 (5 - 3)    -18.031     0.297   -43.171     7.110
 (5 - 4)     -1.708     1.000   -26.848    23.433
 (5 - 6)      0.176     1.000   -24.964    25.317
 (5 - 7)      1.390     1.000   -23.750    26.531
 (6 - 0)     -1.946     1.000   -27.087    23.195
 (6 - 1)    -13.010     0.679   -38.151    12.130
 (6 - 2)     -1.237     1.000   -26.378    23.903
 (6 - 3)    -18.207     0.286   -43.348     6.934
 (6 - 4)     -1.884     1.000   -27.025    23.257
 (6 - 5)     -0.176     1.000   -25.317    24.964
 (6 - 7)      1.214     1.000   -23.926    26.355
 (7 - 0)     -3.160     1.000   -28.301    21.981
 (7 - 1)    -14.224     0.580   -39.365    10.916
 (7 - 2)     -2.451     1.000   -27.592    22.689
